Iteration,new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
225,2,0,0,1,0,20,1,4,15278.8
226,2,1,1,0,0,90,4096,4,4297.8
227,2,1,1,0,0,90,4096,4,4297.8
228,2,1,1,0,0,90,4096,4,4297.8
229,2,1,1,0,0,90,4096,4,4297.8
230,2,1,1,0,0,90,4096,4,4297.8
231,2,1,1,0,0,90,4096,4,4297.8
232,2,1,1,0,0,90,4096,4,4297.8
233,2,1,1,0,0,90,2,4,12725.4
234,2,1,1,0,0,90,4096,4,4297.8
235,2,1,1,0,0,90,8,4,9057.0
236,2,1,1,0,0,90,16,4,5022.8
237,2,1,1,0,0,70,128,4,4507.4
238,2,1,1,0,0,90,4096,4,4297.8
239,2,1,1,0,0,30,512,4,4611.6
240,2,1,1,0,0,80,4,10,80886.6
241,2,1,1,0,0,90,32,4,4411.0
242,2,1,1,0,0,10,4096,4,5737.8
243,1,1,1,0,0,50,4096,8,101309.6
244,5,1,1,0,0,0,1,4,9233.4
245,2,1,1,0,0,90,2,6,73510.4
246,3,1,1,0,0,40,4096,0,12139.8
247,2,1,1,0,0,100,8,4,9071.6
248,4,1,1,0,0,90,16,4,13141.4
249,2,1,1,0,0,20,4096,10,101408.8
250,2,1,1,0,0,90,128,4,4325.4
251,1,1,1,0,0,70,512,4,11839.8
252,2,1,1,0,0,90,4,8,80879.4
253,5,1,1,0,0,30,4096,6,47667.0
254,3,1,0,0,0,80,32,4,12286.4
255,2,0,1,1,0,10,4096,0,17638.4
256,2,1,1,0,0,60,4096,4,4400.2
257,4,1,1,0,0,90,1,10,265595.0
258,2,1,1,0,0,50,64,4,4521.4
259,2,1,1,0,0,0,2,4,17985.2
260,1,1,0,0,0,90,4096,4,11869.2
261,2,0,1,1,0,40,8,8,109333.8
262,5,1,1,0,0,100,16,6,47601.6
263,3,1,1,0,0,90,4096,4,12025.8
264,2,1,1,0,0,20,128,0,5021.2
265,2,1,1,0,0,90,512,4,4332.2
266,4,0,0,1,0,70,4,10,415744.4
267,2,1,1,0,0,90,4096,4,4297.8
268,2,1,1,0,0,30,32,4,4573.0
269,1,1,1,0,0,80,4096,4,11797.4
270,2,1,1,0,0,60,4096,8,101362.6
271,5,1,1,0,0,10,64,6,47759.2
272,3,0,0,1,0,90,1,4,14389.8
273,2,1,1,0,0,50,2048,2,4865.2
274,2,1,1,0,0,0,4096,0,11402.0
275,4,1,1,0,0,90,2,4,15422.6
276,2,1,1,0,0,40,8,4,9203.4
277,2,1,1,0,0,100,16,10,95159.2
278,1,0,0,1,0,90,4096,4,11781.8
279,2,1,1,0,0,20,1024,4,4940.0
280,5,1,1,0,0,90,128,8,122448.2
281,3,1,1,0,0,70,512,6,10710.4
282,2,1,1,0,0,90,4096,4,4297.8
283,2,1,1,0,0,30,4,2,5505.4
284,4,0,0,1,0,80,32,0,35791.8
285,2,1,1,0,0,60,4096,4,4400.2
286,2,1,1,0,0,90,4096,4,4297.8
287,1,1,1,0,0,10,64,10,99722.2
288,2,1,1,0,0,50,2048,4,4555.0
289,5,1,1,0,0,90,1,4,9125.8
