Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
121,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56303.6
122,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,62415.0
123,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,66047.6
124,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,64522.4
125,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,70685.6
126,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,62415.0
127,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,59725.0
128,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,59577.8
129,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,80854.2
130,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56303.6
131,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,62415.0
132,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,66047.6
133,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,60349.4
134,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,74888.0
135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56378.8
136,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,62415.0
137,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,66042.6
138,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,60349.4
139,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,78457.4
140,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,56605.2
141,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59726.6
142,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,66047.6
143,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,61337.2
144,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,77572.0
145,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56732.6
146,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,61119.4
147,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,70348.4
148,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,59014.4
149,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,81138.8
150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
151,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,61531.4
152,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,63240.8
153,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,62313.8
154,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,77485.4
155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
157,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,69651.4
158,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,60235.8
159,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,75922.8
160,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55781.8
161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
162,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
163,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,66620.2
164,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,58231.0
165,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,72874.2
166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
167,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
168,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,66620.2
169,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,58231.0
170,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,72874.2
171,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
172,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
173,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,63235.0
174,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,60660.4
175,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,73063.6
176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
177,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
178,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,63235.0
179,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,59308.6
180,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,76760.8
181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
182,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59726.6
183,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,63240.8
184,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,63238.4
