Iteration,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
71,0,1,0,0,0,128,2,256,46022.80002052079
72,0,1,0,0,0,128,2,256,46022.80000575834
73,0,1,0,0,0,128,2,256,46022.800004669654
74,0,1,0,0,0,128,2,256,46022.799973639885
75,0,1,0,0,0,128,2,256,46022.799980823365
76,0,1,0,0,0,128,2,256,46022.80006508132
77,0,1,0,0,0,128,2,256,46022.8000263292
78,0,1,0,0,0,128,2,256,46022.799998752285
79,0,1,0,0,0,128,2,256,46022.799976310125
80,0,1,0,0,0,128,2,256,46022.80000363091
81,0,1,0,0,0,128,2,256,46022.79999457825
82,0,1,0,0,0,128,2,256,46022.79998074643
83,0,1,0,0,0,128,2,256,46022.800043886935
84,0,1,0,0,0,128,2,256,46022.80003386749
85,0,1,0,0,0,128,2,256,46022.80001826709
86,0,1,0,0,0,128,2,256,46022.799999319985
87,0,1,0,0,0,128,2,256,46022.80001775205
88,0,1,0,0,0,128,32,256,46158.39999401733
89,0,1,0,0,0,128,2,256,46022.80004458737
90,0,1,0,0,0,128,2,256,46022.799983047764
91,0,1,0,0,0,128,2,4096,46368.799993903376
92,0,1,0,0,0,128,32,256,46158.40003378323
93,0,1,0,0,0,128,2,256,46022.79999015783
94,0,1,0,0,0,128,2,256,46022.799983234974
95,0,1,0,0,0,128,2,1024,46240.80000551521
96,0,1,0,0,0,128,32,4096,46197.80004321388
97,0,1,0,0,0,128,2,256,46022.79997487151
98,1,1,0,0,0,128,2,256,132604.7999911961
99,0,1,0,0,0,64,2,1024,46111.59998449193
100,0,1,0,0,0,128,32,256,46158.400004818526
101,0,1,0,0,0,128,2,256,46022.799981392425
102,0,1,0,0,0,128,2,256,46022.80001970417
103,0,1,0,0,0,128,2,256,46022.79999665846
104,0,1,0,0,0,128,2,256,46022.80001161656
105,0,1,0,0,0,128,2,256,46022.799976770366
106,0,1,0,0,0,128,2,256,46022.80001209253
107,0,1,0,0,0,128,2,256,46022.80000184233
108,0,1,0,0,0,128,2,256,46022.800000694595
109,0,1,0,0,0,128,2,256,46022.79999631071
110,0,1,0,0,0,128,2,256,46022.79996560543
111,0,1,0,0,0,128,2,4096,46368.7999540677
112,0,1,0,1,0,128,8,256,46439.59995849954
113,1,1,0,0,0,64,2,256,132203.80000446155
114,0,1,1,0,0,256,2,256,46407.79997306615
115,0,1,0,0,0,128,2,1024,46240.799987230756
116,0,1,0,0,0,128,2,256,46022.79997151361
117,0,1,0,1,0,128,8,4096,46586.400015801635
118,1,1,0,0,0,128,2,256,132604.80001319907
