Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
170,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009764894580402321
171,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0010181886044738548
172,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.005979890753279723
173,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0009758020045887954
174,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.001008762073578279
175,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0010001338321007534
176,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0.9920471241950477
177,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0009759782989081343
178,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010048805593300485
179,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000992928154012141
180,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.005974915270741293
181,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0010004615836766255
182,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000980864625796215
183,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0.9920413873466926
184,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0009964848218052846
185,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010442507543847422
186,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009761337830735132
187,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.004954308741346339
188,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009893396109010172
189,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010027332910835273
190,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009828487360246082
191,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0.992058125357324
192,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009805389773998125
193,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.000992808860082214
194,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010130292348040368
195,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.004958702954049021
196,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009919263786672071
197,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009674637210510394
198,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010193374586913123
199,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0.9920345835454494
200,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009779339205782363
201,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010012733343836076
202,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009833941568899542
203,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0009901015509694547
204,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.005951544243145551
205,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0010150801871076109
206,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010039328637871307
207,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0.9920542050189102
208,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009986699199762464
209,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009972635497802332
210,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0009869059304099333
211,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009915234775221553
212,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.004963467400850751
213,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0.02980450879130935
214,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009806961653403064
215,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009854542022245019
216,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0.9920471928224444
217,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0009975194283637044
218,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.000989604217144871
219,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009849486717499155
220,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0.0069348528993152195
221,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009981176403335177
222,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009669390906401458
223,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010041224072217477
224,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.9920603362914567
225,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010127498026433327
226,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009926838261092225
